x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
76,76,0.4,chi2,MAR,7.949684330129108e-36,0.32211639630926064
76,76,0.4,chi2,MNAR,1.7608498104978433e-49,0.42563343312529034
77,77,0.0,chi2,MCAR,3.0724876456132102e-90,0.3852193185482599
77,77,0.0,chi2,MAR,3.0724876456132102e-90,0.3852193185482599
77,77,0.0,chi2,MNAR,3.0724876456132102e-90,0.3852193185482599
77,77,0.1,chi2,MCAR,8.277815062192978e-78,0.3985612480505221
77,77,0.1,chi2,MAR,3.4273237656907134e-82,0.38827895530856177
77,77,0.1,chi2,MNAR,3.0724876456132102e-90,0.3852193185482599
77,77,0.2,chi2,MCAR,2.7818639111946315e-58,0.3961230808272135
77,77,0.2,chi2,MAR,2.951946464553271e-74,0.39403106429721696
77,77,0.2,chi2,MNAR,3.0724876456132102e-90,0.3852193185482599
77,77,0.3,chi2,MCAR,3.967170462998566e-48,0.4130044343837318
77,77,0.3,chi2,MAR,2.6066815304669303e-62,0.3912658192710341
77,77,0.3,chi2,MNAR,2.3471160432995112e-54,0.44436457871621154
77,77,0.4,chi2,MCAR,5.352328355063822e-32,0.4044618977393042
77,77,0.4,chi2,MAR,7.066895559088713e-52,0.38851555367798524
77,77,0.4,chi2,MNAR,2.3471160432995112e-54,0.44436457871621154
78,78,0.0,chi2,MCAR,1.4770841840002535e-100,0.40555118586863514
78,78,0.0,chi2,MAR,1.4770841840002535e-100,0.40555118586863514
78,78,0.0,chi2,MNAR,1.4770841840002535e-100,0.40555118586863514
78,78,0.1,chi2,MCAR,5.857736141250236e-78,0.39600834850237177
78,78,0.1,chi2,MAR,2.967134689109559e-84,0.389625140069255
78,78,0.1,chi2,MNAR,1.4770841840002535e-100,0.40555118586863514
78,78,0.2,chi2,MCAR,1.1018958808427236e-63,0.40736462279209873
78,78,0.2,chi2,MAR,7.486536585553665e-71,0.3806744082971588
78,78,0.2,chi2,MNAR,1.4770841840002535e-100,0.40555118586863514
78,78,0.3,chi2,MCAR,6.767574853470858e-50,0.4144024191717923
78,78,0.3,chi2,MAR,1.5835552910602254e-64,0.38737170907963375
78,78,0.3,chi2,MNAR,9.469524453247141e-53,0.43257419699093114
78,78,0.4,chi2,MCAR,2.8666089877096547e-33,0.4002654933664377
78,78,0.4,chi2,MAR,8.1832702514869945e-53,0.3796130723945112
78,78,0.4,chi2,MNAR,9.469524453247141e-53,0.43257419699093114
79,79,0.0,chi2,MCAR,2.5139022481578225e-89,0.3833669815086669
79,79,0.0,chi2,MAR,2.5139022481578225e-89,0.3833669815086669
79,79,0.0,chi2,MNAR,2.5139022481578225e-89,0.3833669815086669
79,79,0.1,chi2,MCAR,2.6479468431199588e-64,0.3701723933998642
79,79,0.1,chi2,MAR,1.5316646859043508e-74,0.37583484205206397
79,79,0.1,chi2,MNAR,2.5139022481578225e-89,0.3833669815086669
79,79,0.2,chi2,MCAR,7.741081502299059e-55,0.3841421185894324
79,79,0.2,chi2,MAR,1.208082503562367e-62,0.3652127706390898
79,79,0.2,chi2,MNAR,2.5139022481578225e-89,0.3833669815086669
79,79,0.3,chi2,MCAR,5.506374528946063e-42,0.38747791032213674
79,79,0.3,chi2,MAR,3.6368822717691397e-51,0.3526557872011501
79,79,0.3,chi2,MNAR,1.6313836993102188e-52,0.44698651223541896
79,79,0.4,chi2,MCAR,3.810006062452248e-30,0.38819515239802427
79,79,0.4,chi2,MAR,4.7345318041981226e-42,0.3494274497976071
79,79,0.4,chi2,MNAR,1.6313836993102188e-52,0.44698651223541896
80,80,0.0,chi2,MCAR,6.216950257723501e-95,0.39460253263918754
80,80,0.0,chi2,MAR,6.216950257723501e-95,0.39460253263918754
80,80,0.0,chi2,MNAR,6.216950257723501e-95,0.39460253263918754
80,80,0.1,chi2,MCAR,3.7489589231534584e-76,0.394540884467113
80,80,0.1,chi2,MAR,4.1442899476223695e-89,0.40296742789399703
80,80,0.1,chi2,MNAR,6.216950257723501e-95,0.39460253263918754
80,80,0.2,chi2,MCAR,3.573772098005336e-61,0.39762650655507215
80,80,0.2,chi2,MAR,1.3300472503500154e-81,0.40913190315303277
80,80,0.2,chi2,MNAR,6.216950257723501e-95,0.39460253263918754
80,80,0.3,chi2,MCAR,1.5146092120465887e-43,0.3904027812664412
80,80,0.3,chi2,MAR,1.6757241207805783e-73,0.4158327232232719
80,80,0.3,chi2,MNAR,2.3211853958863078e-57,0.45982381036742365
80,80,0.4,chi2,MCAR,5.6260695313524874e-33,0.40592374011378063
80,80,0.4,chi2,MAR,4.71239099014449e-59,0.4011228401750762
80,80,0.4,chi2,MNAR,2.3211853958863078e-57,0.45982381036742365
81,81,0.0,chi2,MCAR,4.605103897875691e-80,0.3640201731763856
81,81,0.0,chi2,MAR,4.605103897875691e-80,0.3640201731763856
81,81,0.0,chi2,MNAR,4.605103897875691e-80,0.3640201731763856
81,81,0.1,chi2,MCAR,1.0125383660272742e-53,0.33514897879340355
81,81,0.1,chi2,MAR,2.756408864511527e-71,0.36656582610643096
81,81,0.1,chi2,MNAR,4.605103897875691e-80,0.3640201731763856
81,81,0.2,chi2,MCAR,2.1023252249313315e-47,0.3568464246195206
81,81,0.2,chi2,MAR,1.8119727358337233e-65,0.37496606028420887
81,81,0.2,chi2,MNAR,4.605103897875691e-80,0.3640201731763856
81,81,0.3,chi2,MCAR,1.8290688730830564e-38,0.3769774548527899
81,81,0.3,chi2,MAR,2.390756860385214e-60,0.3821278923684727
81,81,0.3,chi2,MNAR,2.6257781824995227e-56,0.4648215046442466
81,81,0.4,chi2,MCAR,4.304203627195147e-28,0.38653833696120604
81,81,0.4,chi2,MAR,1.1523062287675596e-51,0.3858049991967751
81,81,0.4,chi2,MNAR,2.6257781824995227e-56,0.4648215046442466
82,82,0.0,chi2,MCAR,9.561135001853362e-98,0.40011732046592463
82,82,0.0,chi2,MAR,9.561135001853362e-98,0.40011732046592463
82,82,0.0,chi2,MNAR,9.561135001853362e-98,0.40011732046592463
82,82,0.1,chi2,MCAR,4.033240605721669e-86,0.4171117969468693
82,82,0.1,chi2,MAR,4.21682143626086e-92,0.4068585873876971
82,82,0.1,chi2,MNAR,9.561135001853362e-98,0.40011732046592463
82,82,0.2,chi2,MCAR,1.7011127568424376e-65,0.4143563069145294
82,82,0.2,chi2,MAR,2.7608164724215198e-77,0.3965638962496805
82,82,0.2,chi2,MNAR,9.561135001853362e-98,0.40011732046592463
82,82,0.3,chi2,MCAR,2.43102744574938e-48,0.4003934729228632
82,82,0.3,chi2,MAR,3.782366499558728e-61,0.3822943253913718
82,82,0.3,chi2,MNAR,1.8712259837589342e-53,0.4538338079985101
82,82,0.4,chi2,MCAR,1.0642929871936774e-30,0.3813686768365053
82,82,0.4,chi2,MAR,1.6799873548978652e-49,0.3726147253299037
82,82,0.4,chi2,MNAR,1.8712259837589342e-53,0.4538338079985101
83,83,0.0,chi2,MCAR,7.811236135773765e-104,0.4117919888448689
83,83,0.0,chi2,MAR,7.811236135773765e-104,0.4117919888448689
