x_data,y_data,na_ratio,test,mechanism,pvalue,effect_size
16,16,0.3,anova,MAR,1.3965367616217073e-100,0.48406863653700183
16,16,0.3,anova,MNAR,2.742212734406969e-40,0.25216507192539367
16,16,0.3,kruskal,MCAR,1.1291747610275849e-06,0.05439317031749038
16,16,0.3,kruskal,MAR,6.24804107784982e-07,0.0407903059706709
16,16,0.3,kruskal,MNAR,0.17036701834588353,0.0028405912827644637
16,16,0.4,anova,MCAR,6.527430446875696e-59,0.5215598847169621
16,16,0.4,anova,MAR,1.021267080459431e-89,0.4958829419288884
16,16,0.4,anova,MNAR,6.778521909078101e-29,0.20644644990578104
16,16,0.4,kruskal,MCAR,0.0004855929021604366,0.03997730547808542
16,16,0.4,kruskal,MAR,8.773565564612618e-06,0.038946446027493795
16,16,0.4,kruskal,MNAR,0.7504933396324249,-0.0030469038353772766
17,17,0.0,anova,MCAR,2.2286177868911786e-167,0.5399432202994312
17,17,0.0,anova,MAR,2.2286177868911786e-167,0.5399432202994312
17,17,0.0,anova,MNAR,2.2286177868911786e-167,0.5399432202994312
17,17,0.0,kruskal,MCAR,2.2305712832348945e-11,0.04979968821539915
17,17,0.0,kruskal,MAR,2.2305712832348945e-11,0.04979968821539915
17,17,0.0,kruskal,MNAR,2.2305712832348945e-11,0.04979968821539915
17,17,0.1,anova,MCAR,1.1939528723343599e-132,0.524844859941966
17,17,0.1,anova,MAR,5.721698010415411e-153,0.5424702315341893
17,17,0.1,anova,MNAR,2.2495980025604597e-125,0.476339928461467
17,17,0.1,kruskal,MCAR,2.0450791060611095e-09,0.04900321749745632
17,17,0.1,kruskal,MAR,1.0625922364226881e-10,0.05157591672775703
17,17,0.1,kruskal,MNAR,8.985146343620798e-07,0.031122345820919963
17,17,0.2,anova,MCAR,1.324129538036264e-106,0.5387920742469399
17,17,0.2,anova,MAR,2.916950147525731e-131,0.5329318253564521
17,17,0.2,anova,MNAR,1.9339476571336848e-91,0.4122955924270845
17,17,0.2,kruskal,MCAR,2.263212236508494e-07,0.04823575565811171
17,17,0.2,kruskal,MAR,1.2626616419098013e-09,0.0517704554458777
17,17,0.2,kruskal,MNAR,9.44744294184563e-06,0.02891916900502003
17,17,0.3,anova,MCAR,7.690535814336558e-78,0.526372178303037
17,17,0.3,anova,MAR,4.756753102479044e-114,0.5327752136078177
17,17,0.3,anova,MNAR,2.612070142783946e-46,0.28528260622319773
17,17,0.3,kruskal,MCAR,0.00020614030631138647,0.03442467253375603
17,17,0.3,kruskal,MAR,9.448938520506545e-09,0.05359153919576365
17,17,0.3,kruskal,MNAR,0.04704293026603612,0.007547503428482208
17,17,0.4,anova,MCAR,3.570259530700899e-57,0.5399006744164591
17,17,0.4,anova,MAR,2.277644748519752e-97,0.5320837880174178
17,17,0.4,anova,MNAR,1.2263324859918551e-34,0.24298624163615004
17,17,0.4,kruskal,MCAR,0.0030306885987002596,0.03199323540129986
17,17,0.4,kruskal,MAR,7.376308452933245e-10,0.071008524683405
17,17,0.4,kruskal,MNAR,0.006842908273984816,0.016671725738320715
18,18,0.0,anova,MCAR,8.790522273524147e-146,0.4915858741078003
18,18,0.0,anova,MAR,8.790522273524147e-146,0.4915858741078003
